time,open,high,low,close,volume
2020-11-24 22:00:00.000,18939.3,19130,18857,19125.78,1906.472112
2020-11-24 23:00:00.000,19123.23,19190,19082.53,19151.91,2577.060998
2020-11-25 00:00:00.000,19160,19218,19090.19,19161.74,2546.62356
2020-11-25 01:00:00.000,19161.74,19218.12,19065.29,19099.63,2381.86013
2020-11-25 02:00:00.000,19099.63,19099.63,18900,18975.81,3381.453493
2020-11-25 03:00:00.000,18975.81,19049.99,18734.22,18808.03,3923.895414
2020-11-25 04:00:00.000,18808.04,18921.45,18670,18685.82,4245.388994
2020-11-25 05:00:00.000,18685.82,18887.61,18625,18879.49,3511.594732
2020-11-25 06:00:00.000,18879.5,18936.42,18847.09,18895,2561.572818
2020-11-25 07:00:00.000,18895,19050.73,18833.49,18975.13,2892.802042
2020-11-25 08:00:00.000,18975.12,19218,18970.01,19115.18,3930.524218
2020-11-25 09:00:00.000,19115.18,19173.38,19055.69,19169.79,2790.622793
2020-11-25 10:00:00.000,19169.79,19338.97,19157.09,19287.88,4231.165947
2020-11-25 11:00:00.000,19287.88,19345.99,19254,19281.55,3365.505913
2020-11-25 12:00:00.000,19281.55,19315,19152.33,19291.59,3616.423698
2020-11-25 13:00:00.000,19291.6,19484.21,19100,19198.55,6709.290801
2020-11-25 14:00:00.000,19197.25,19314.17,19114.46,19268.99,4166.864355
2020-11-25 15:00:00.000,19269.25,19327.8,19115.79,19126.84,4413.790327
2020-11-25 16:00:00.000,19126.84,19196.33,18856,18988.62,6463.489026
2020-11-25 17:00:00.000,18988.65,19070.44,18811,19061.31,4276.602741
2020-11-25 18:00:00.000,19061.31,19125.53,19032.36,19056.67,2685.783764
2020-11-25 19:00:00.000,19056.68,19125,18896.28,18981.29,2787.531469
2020-11-25 20:00:00.000,18981.29,19096.63,18731,18902.39,5306.788267
2020-11-25 21:00:00.000,18902.38,19042.42,18800.47,18880.27,3371.604649
2020-11-25 22:00:00.000,18880.27,18927.85,18695,18758.71,3637.374986
2020-11-25 23:00:00.000,18758.71,18854.59,18500.27,18719.12,6067.332192
2020-11-26 00:00:00.000,18718.83,18915.03,18613.92,18862.54,3945.330305
2020-11-26 01:00:00.000,18862.55,18886.59,18749.33,18795.74,2242.8066
2020-11-26 02:00:00.000,18799.32,18804.28,18355.85,18413.82,6730.124698
2020-11-26 03:00:00.000,18400.97,18400.97,17200,17927.98,18962.79085
2020-11-26 04:00:00.000,17927.98,18100,17566.54,17751.52,9622.526221
2020-11-26 05:00:00.000,17772.03,17954.56,17697.76,17930,5073.385992
2020-11-26 06:00:00.000,17930.86,18015.79,17825.63,17951.25,3868.064933
2020-11-26 07:00:00.000,17954.1,17954.1,17435,17619.9,7099.34022
2020-11-26 08:00:00.000,17610.92,17620.19,16334,16878.8,20472.90219
2020-11-26 09:00:00.000,16878.8,17129.61,16652.18,17060.77,10264.71719
2020-11-26 10:00:00.000,17060.81,17321.84,17058.33,17285.17,8061.938518
2020-11-26 11:00:00.000,17285,17420.93,16930.3,17100,8199.92863
2020-11-26 12:00:00.000,17100,17384.95,16963.79,17369.17,6229.544765
2020-11-26 13:00:00.000,17369.17,17395.47,17045.08,17054.57,4958.936188
2020-11-26 14:00:00.000,17054.02,17120,16732.24,16732.33,9376.812879
2020-11-26 15:00:00.000,16732.23,17250,16720,16905.18,6802.105198
2020-11-26 16:00:00.000,16906.23,17036.65,16585.41,16669.96,7064.201396
2020-11-26 17:00:00.000,16669.9,16794.92,16188,16693.76,12709.75047
2020-11-26 18:00:00.000,16690.11,16823,16500,16526.77,4803.690402
2020-11-26 19:00:00.000,16532.35,16627.65,16300,16538.24,6448.529893
2020-11-26 20:00:00.000,16516.86,17152.01,16513.35,17136.33,7079.581365
2020-11-26 21:00:00.000,17136.33,17294.88,17005,17031.33,5801.693944
2020-11-26 22:00:00.000,17031.17,17229.94,16968.11,17167.26,2394.960979
2020-11-26 23:00:00.000,17167.49,17177.91,16807.69,17149.47,2490.066592
2020-11-27 00:00:00.000,17149.47,17400,17012.56,17388.09,4058.583866
2020-11-27 01:00:00.000,17395.34,17457.62,17266.08,17304.86,4025.106583
2020-11-27 02:00:00.000,17306.48,17320,17068,17092.5,3639.903142
2020-11-27 03:00:00.000,17092.5,17269.46,17022.18,17078.11,3114.888772
2020-11-27 04:00:00.000,17078.11,17186.87,17050,17073.39,2532.25951
2020-11-27 05:00:00.000,17071.42,17340.49,17069.27,17257.99,2564.6066
2020-11-27 06:00:00.000,17258.5,17311,17172.53,17282.03,2278.174938
2020-11-27 07:00:00.000,17282.03,17296.75,17037.57,17094.18,2962.000044
2020-11-27 08:00:00.000,17095.47,17118.15,16713.46,16850.85,5674.487177
2020-11-27 09:00:00.000,16850.86,17200,16620,16656.53,6643.538771
2020-11-27 10:00:00.000,16656.54,16942.17,16654.26,16911.01,4082.894687
2020-11-27 11:00:00.000,16920.55,16940.87,16758,16789.37,2854.959974
2020-11-27 12:00:00.000,16789.46,17074.08,16772.52,17068,3803.787741
2020-11-27 13:00:00.000,17066.94,17083.35,16910,16945.89,2847.474709
2020-11-27 14:00:00.000,16944.79,16960.63,16724.82,16772.34,3495.206249
2020-11-27 15:00:00.000,16768.51,16788.13,16438.08,16498.85,6782.024181
2020-11-27 16:00:00.000,16501.1,16834.28,16465.48,16810,4546.274845
2020-11-27 17:00:00.000,16810.08,16810.08,16660.33,16724.58,2531.981582
2020-11-27 18:00:00.000,16727.89,16866.66,16686.71,16781.79,2372.550028
2020-11-27 19:00:00.000,16781.22,16846.91,16730,16803.74,1753.772382
2020-11-27 20:00:00.000,16803.14,17200,16750,17069.73,4782.553042
2020-11-27 21:00:00.000,17068.01,17087.46,16634.34,16993.16,3481.348502
2020-11-27 22:00:00.000,16994.91,17047.84,16910.36,16960.41,1453.158599
2020-11-27 23:00:00.000,16956.59,17235.7,16956.59,17139.2,2903.226311
2020-11-28 00:00:00.000,17139.53,17178.45,16974.3,17150.02,2418.480382
2020-11-28 01:00:00.000,17150,17190,17046.46,17131.16,2237.13862
2020-11-28 02:00:00.000,17129.65,17131.23,16979.61,16984.2,1647.528189
2020-11-28 03:00:00.000,16984.52,17012.09,16923.5,16990.96,2029.970053
2020-11-28 04:00:00.000,16990.27,17026.6,16891.9,16965.73,1516.795319
2020-11-28 05:00:00.000,16961.37,16977.03,16872,16975.77,1371.850879
2020-11-28 06:00:00.000,16978,17036.89,16962.99,17019.3,1424.096059
2020-11-28 07:00:00.000,17019.31,17067.14,16992,17014.72,1561.292393
2020-11-28 08:00:00.000,17014.72,17046.41,16865.56,16875.01,1991.702551
2020-11-28 09:00:00.000,16875.01,16962.74,16874.99,16916.42,1326.543131
2020-11-28 10:00:00.000,16916.42,17257.97,16880.5,17198.37,3977.016463
2020-11-28 11:00:00.000,17195.73,17200,17106.02,17162,2049.682715
2020-11-28 12:00:00.000,17160.29,17227.08,17070,17133.92,2649.86626
2020-11-28 13:00:00.000,17134.42,17358,17074.39,17356.02,3543.613957
2020-11-28 14:00:00.000,17356.03,17390,17264.59,17335.55,3780.327477
2020-11-28 15:00:00.000,17336.07,17530.46,17336.06,17517.04,4536.903217
2020-11-28 16:00:00.000,17517.04,17772.09,17516.52,17707.26,7571.027522
2020-11-28 17:00:00.000,17707.26,17748.99,17580.64,17745.74,3610.637153
2020-11-28 18:00:00.000,17745.73,17765.23,17640.38,17724.23,3352.514579
2020-11-28 19:00:00.000,17730,17840,17670.75,17814.5,2840.79061
2020-11-28 20:00:00.000,17814.5,17880.49,17671.14,17680.02,3333.589164
2020-11-28 21:00:00.000,17673.21,17751.99,17660.3,17745.11,1492.230691
2020-11-28 22:00:00.000,17741.05,17843,17612.33,17760,2697.216101
2020-11-28 23:00:00.000,17760.03,17807.1,17661.21,17719.85,1864.666666
2020-11-29 00:00:00.000,17719.84,17760,17517,17650.5,2659.676946
2020-11-29 01:00:00.000,17649.24,17663.11,17520,17586.95,1442.143941
2020-11-29 02:00:00.000,17587.53,17793,17545.28,17741.54,1600.85409
2020-11-29 03:00:00.000,17742.25,17886.21,17724.19,17869.86,1887.584781
2020-11-29 04:00:00.000,17867.48,17867.49,17758.66,17763,1322.419808
